age,gender,height_cm,weight_kg,BMI
27,0,172.3,75.24,25.34417928
25,0,165,55.8,20.49586777
31,0,179.6,78,24.18142767
32,0,174.5,71.1,23.34956199
28,0,173.8,67.7,22.4124392
36,1,165.4,55.4,20.25064005
42,1,164.5,63.7,23.54006338
33,0,174.9,77.2,25.23699731
54,0,166.8,67.5,24.26116661
28,0,185,84.6,24.71877283
42,0,169.2,65.4,22.84425666
57,1,153,49,20.93212012
27,1,156,53.9,22.14825773
22,0,175.7,67.9,21.99511572
24,0,181,84.4,25.76233937
45,1,159,63.1,24.95945572
25,1,164.2,66.6,24.70176147
26,0,179.9,71.5,22.09244157
26,0,169.2,70.6,24.66061958
21,1,162.7,47.2,17.8306384
25,1,161.7,63.36,24.23232744
59,1,155.9,62.7,25.79736274
38,0,166.7,67.3,24.21831171
44,0,170,63.3,21.90311419
23,1,164.1,59.4,22.05816002
62,0,169,70.7,24.75403522
47,1,158.3,53.5,21.34970863
48,0,175.8,84.5,27.34128787
36,0,176,81.3,26.24612603
50,1,159.8,57.1,22.36055395
25,0,170.9,70.7,24.2066833
26,0,176.7,77.2,24.72544982
28,1,159.5,51.54,20.25923487
30,0,172.1,79.5,26.84141384
49,1,151.5,52,22.65573092
40,0,177.6,88.6,28.08974515
21,0,172.5,66.4,22.31463978
31,0,177.5,79.5,25.23308867
32,0,178,84.5,26.66961242
27,0,177.6,79.7,25.26808903
42,0,168,61,21.61281179
52,0,173.6,84.9,28.17138822
39,0,173.3,69.8,23.24118658
33,1,159.6,60.5,23.75142116
25,1,161.8,57.7,22.04036481
31,0,169.9,73.1,25.32390171
34,0,183.6,76.82,22.78919314
26,0,172.1,66.1,22.31720069
28,0,180.1,82.1,25.31137461
58,0,164.2,64,23.73742844
48,0,169.8,75.4,26.15146205
23,0,180.1,65.9,20.31692554
38,1,157.2,51.7,20.92114549
43,1,168.3,69.3,24.46611443
21,1,159.5,51.3,20.16489618
56,0,166.7,56.9,20.47580886
24,0,164.4,66.2,24.49369824
58,1,146.5,46.4,21.61935491
42,0,174.1,103.1,34.01426752
45,0,185.4,80,23.27397307
37,0,168.9,78.8,27.62275035
31,0,175.3,83.6,27.2046063
43,1,164,50.8,18.88756692
23,1,162.4,58.9,22.33280351
59,1,165,63.7,23.39761249
63,0,166.6,75.5,27.20175705
40,0,174.2,77.6,25.57204264
27,1,150.5,55.7,24.59134005
56,1,160.2,62.4,24.31417657
35,0,179,75,23.40750913
30,0,172.7,78,26.15230229
56,0,160.2,62.7,24.43107165
36,0,171.5,80.5,27.3695484
60,0,175.1,66.5,21.68949064
22,0,172.2,70.6,23.80884934
22,0,171.9,78.46,26.55195788
37,0,174,75.2,24.83815563
21,1,158.1,53.6,21.44376553
21,0,170.4,74.3,25.58878309
60,1,158.6,62.7,24.92649269
27,1,168.5,64.2,22.61180428
59,1,156.3,60.5,24.7649479
47,1,157,54.1,21.94815205
21,1,161.3,50.6,19.44830613
51,0,177,68.7,21.92856459
48,0,171,66.2,22.63944462
49,0,170,66.2,22.90657439
41,1,158.1,51,20.40358287
24,1,159,45.5,17.99770579
35,0,178.4,79,24.82203543
26,1,156.7,56.3,22.92822326
35,0,178.5,78.4,24.6059208
25,0,171.2,65.1,22.21127391
30,0,176.4,71.7,23.04209666
27,0,175.4,86.4,28.08371548
41,0,166.7,65.7,23.64254204
50,1,158.4,57.2,22.79741863
22,0,175.8,72,23.29671866
56,0,173,70.9,23.68939824
46,1,159.1,52.2,20.62196967
44,0,180.5,79.5,24.40128606
25,1,162.2,71.5,27.17717695
